Frequency(S) [GHz], S11(dB)
2.114000082015991211e+00,-9.299462292214809578e-01
2.115000009536743164e+00,-9.361945732545374765e-01
2.115999937057495117e+00,-9.423617053028155999e-01
2.117000102996826172e+00,-9.484387553796662651e-01
2.118000030517578125e+00,-9.544204249270094031e-01
2.118999958038330078e+00,-9.603022327156972571e-01
2.119999885559082031e+00,-9.660783947241553538e-01
2.121000051498413086e+00,-9.717425072276208997e-01
2.121999979019165039e+00,-9.772933347184924457e-01
2.122999906539916992e+00,-9.827240492428328533e-01
2.124000072479248047e+00,-9.880327022307843210e-01
2.125000000000000000e+00,-9.932160974212257409e-01
2.125999927520751953e+00,-9.982737042385936288e-01
2.127000093460083008e+00,-1.003199418750483574e+00
2.128000020980834961e+00,-1.007994349061734907e+00
2.128999948501586914e+00,-1.012656949619302749e+00
2.130000114440917969e+00,-1.017187279748115181e+00
2.131000041961669922e+00,-1.021585211581975461e+00
2.131999969482421875e+00,-1.025850484543272989e+00
2.132999897003173828e+00,-1.029983798344313417e+00
2.134000062942504883e+00,-1.033987719128483196e+00
2.134999990463256836e+00,-1.037863143275344235e+00
2.135999917984008789e+00,-1.041613299482672783e+00
2.137000083923339844e+00,-1.045239622631340737e+00
2.138000011444091797e+00,-1.048747168378714623e+00
2.138999938964843750e+00,-1.052137921819493283e+00
2.140000104904174805e+00,-1.055417062383822158e+00
2.141000032424926758e+00,-1.058589111069981437e+00
2.141999959945678711e+00,-1.061658695889939663e+00
2.142999887466430664e+00,-1.064631297504159635e+00
2.144000053405761719e+00,-1.067512964299445644e+00
2.144999980926513672e+00,-1.070309461783025773e+00
2.145999908447265625e+00,-1.073025992620901814e+00
2.147000074386596680e+00,-1.075670275252969210e+00
2.148000001907348633e+00,-1.078249603440850191e+00
2.148999929428100586e+00,-1.080771853481764744e+00
2.150000095367431641e+00,-1.083244326820638204e+00
2.151000022888183594e+00,-1.085673621655425469e+00
2.151999950408935547e+00,-1.088068070604954141e+00
2.153000116348266602e+00,-1.090435870861535150e+00
2.154000043869018555e+00,-1.092785443337322526e+00
2.154999971389770508e+00,-1.095126237775042366e+00
2.155999898910522461e+00,-1.097465677209736867e+00
2.157000064849853516e+00,-1.099813347293270516e+00
2.157999992370605469e+00,-1.102176949724560373e+00
2.158999919891357422e+00,-1.104568109715418522e+00
2.160000085830688477e+00,-1.106992671702051290e+00
2.161000013351440430e+00,-1.109460728990365963e+00
2.161999940872192383e+00,-1.111981409899719164e+00
2.163000106811523438e+00,-1.114564170412059019e+00
2.164000034332275391e+00,-1.117216961022762689e+00
2.164999961853027344e+00,-1.119948251121390070e+00
2.165999889373779297e+00,-1.122767915778695835e+00
2.167000055313110352e+00,-1.125685153323334742e+00
2.167999982833862305e+00,-1.128706064043053514e+00
2.168999910354614258e+00,-1.131842528727776021e+00
2.170000076293945312e+00,-1.135099704157130018e+00
2.171000003814697266e+00,-1.138486742354211545e+00
2.171999931335449219e+00,-1.142013127369694292e+00
2.173000097274780273e+00,-1.145685070566846431e+00
2.174000024795532227e+00,-1.149509158039678125e+00
2.174999952316284180e+00,-1.153494632794344721e+00
2.176000118255615234e+00,-1.157646805907422305e+00
2.177000045776367188e+00,-1.161974212893715164e+00
2.177999973297119141e+00,-1.166482727660336449e+00
2.178999900817871094e+00,-1.171178299032500592e+00
2.180000066757202148e+00,-1.176066186777120048e+00
2.180999994277954102e+00,-1.181154281592604827e+00
2.181999921798706055e+00,-1.186446342756922956e+00
2.183000087738037109e+00,-1.191946404447601804e+00
2.184000015258789062e+00,-1.197662694138141859e+00
2.184999942779541016e+00,-1.203596235141361159e+00
2.186000108718872070e+00,-1.209752842604243872e+00
2.187000036239624023e+00,-1.216136970038840470e+00
2.187999963760375977e+00,-1.222750506357642264e+00
2.188999891281127930e+00,-1.229597678304703789e+00
2.190000057220458984e+00,-1.236681009296207723e+00
2.190999984741210938e+00,-1.244002657703494608e+00
2.191999912261962891e+00,-1.251565805382827801e+00
2.193000078201293945e+00,-1.259370570707232684e+00
2.194000005722045898e+00,-1.267418459965654165e+00
2.194999933242797852e+00,-1.275713042564274424e+00
2.196000099182128906e+00,-1.284253270082358567e+00
2.197000026702880859e+00,-1.293041012251920030e+00
2.197999954223632812e+00,-1.302074555989861881e+00
2.198999881744384766e+00,-1.311354982463345475e+00
2.200000047683715820e+00,-1.320881608771675708e+00
2.200999975204467773e+00,-1.330653554999989385e+00
2.201999902725219727e+00,-1.340670149461906435e+00
2.203000068664550781e+00,-1.350930506796603314e+00
2.203999996185302734e+00,-1.361430434492495456e+00
2.204999923706054688e+00,-1.372172400985406382e+00
2.206000089645385742e+00,-1.383149689407811245e+00
2.207000017166137695e+00,-1.394362885469355717e+00
2.207999944686889648e+00,-1.405809714795161147e+00
2.209000110626220703e+00,-1.417485454139723267e+00
2.210000038146972656e+00,-1.429387525275010118e+00
2.210999965667724609e+00,-1.441513338130641753e+00
2.211999893188476562e+00,-1.453859090407803256e+00
2.213000059127807617e+00,-1.466422437974617354e+00
2.213999986648559570e+00,-1.479197561349027135e+00
2.214999914169311523e+00,-1.492181174865567783e+00
2.216000080108642578e+00,-1.505369787013233651e+00
2.217000007629394531e+00,-1.518760479792072848e+00
2.217999935150146484e+00,-1.532346824438080013e+00
2.219000101089477539e+00,-1.546125627187065144e+00
2.220000028610229492e+00,-1.560092241122548407e+00
2.220999956130981445e+00,-1.574243413628404920e+00
2.221999883651733398e+00,-1.588573681435732077e+00
2.223000049591064453e+00,-1.603078768018048716e+00
2.223999977111816406e+00,-1.617753846222528047e+00
2.224999904632568359e+00,-1.632596477202346907e+00
2.226000070571899414e+00,-1.647599903619227035e+00
2.226999998092651367e+00,-1.662763902829221818e+00
2.227999925613403320e+00,-1.678080587444577443e+00
2.229000091552734375e+00,-1.693548066397760898e+00
2.230000019073486328e+00,-1.709162055825045323e+00
2.230999946594238281e+00,-1.724919185361011520e+00
2.232000112533569336e+00,-1.740815604263731942e+00
2.233000040054321289e+00,-1.756849810337593798e+00
2.233999967575073242e+00,-1.773016252108506663e+00
2.234999895095825195e+00,-1.789314016904060223e+00
2.236000061035156250e+00,-1.805741288495681607e+00
2.236999988555908203e+00,-1.822294189967991862e+00
2.237999916076660156e+00,-1.838971674647623011e+00
2.239000082015991211e+00,-1.855774360258434452e+00
2.240000009536743164e+00,-1.872696105155077007e+00
2.240999937057495117e+00,-1.889740759845091045e+00
2.242000102996826172e+00,-1.906908062417776106e+00
2.243000030517578125e+00,-1.924194483258766297e+00
2.243999958038330078e+00,-1.941603920259782790e+00
2.244999885559082031e+00,-1.959135057495895671e+00
2.246000051498413086e+00,-1.976790071911120883e+00
2.246999979019165039e+00,-1.994571019579483240e+00
2.247999906539916992e+00,-2.012480304800855713e+00
2.249000072479248047e+00,-2.030519006601649412e+00
2.250000000000000000e+00,-2.048693521179833610e+00
2.250999927520751953e+00,-2.067005623662995450e+00
2.252000093460083008e+00,-2.085460034677150798e+00
2.253000020980834961e+00,-2.104061840998644684e+00
2.253999948501586914e+00,-2.122815163363222624e+00
2.255000114440917969e+00,-2.141727982073794223e+00
2.256000041961669922e+00,-2.160806094875118877e+00
2.256999969482421875e+00,-2.180056294074092627e+00
2.257999897003173828e+00,-2.199486409479833871e+00
2.259000062942504883e+00,-2.219104531175317252e+00
2.259999990463256836e+00,-2.238918870364190905e+00
2.260999917984008789e+00,-2.258940352785634875e+00
2.262000083923339844e+00,-2.279178718704845785e+00
2.263000011444091797e+00,-2.299642700935748518e+00
2.263999938964843750e+00,-2.320345166651117008e+00
2.265000104904174805e+00,-2.341296850801964702e+00
2.266000032424926758e+00,-2.362510457418368404e+00
2.266999959945678711e+00,-2.383998987901561506e+00
2.267999887466430664e+00,-2.405776195702020281e+00
2.269000053405761719e+00,-2.427855539613549496e+00
2.269999980926513672e+00,-2.450251058796943493e+00
2.270999908447265625e+00,-2.472979260225128595e+00
2.272000074386596680e+00,-2.496054025903085449e+00
2.273000001907348633e+00,-2.519492607469958401e+00
2.273999929428100586e+00,-2.543311785190280894e+00
2.275000095367431641e+00,-2.567528644480208566e+00
2.276000022888183594e+00,-2.592161685851528397e+00
2.276999950408935547e+00,-2.617229018152093190e+00
2.278000116348266602e+00,-2.642747187086786020e+00
2.279000043869018555e+00,-2.668739000190486266e+00
2.279999971389770508e+00,-2.695221892524499729e+00
2.280999898910522461e+00,-2.722217141905336035e+00
2.282000064849853516e+00,-2.749745585586623520e+00
2.282999992370605469e+00,-2.777828364559797425e+00
2.283999919891357422e+00,-2.806487013233671668e+00
2.285000085830688477e+00,-2.835744216200604573e+00
2.286000013351440430e+00,-2.865623131157556180e+00
2.286999940872192383e+00,-2.896145977698755480e+00
2.288000106811523438e+00,-2.927335312605481299e+00
2.289000034332275391e+00,-2.959218444662361502e+00
2.289999961853027344e+00,-2.991816714611420736e+00
2.290999889373779297e+00,-3.025157106259472872e+00
2.292000055313110352e+00,-3.059264073883553259e+00
2.292999982833862305e+00,-3.094164204758833581e+00
2.293999910354614258e+00,-3.129881826530476197e+00
2.295000076293945312e+00,-3.166446640118825151e+00
2.296000003814697266e+00,-3.203883397169722702e+00
2.296999931335449219e+00,-3.242222226844084787e+00
2.298000097274780273e+00,-3.281488033771239543e+00
2.299000024795532227e+00,-3.321712206237576570e+00
2.299999952316284180e+00,-3.362921927189761018e+00
2.301000118255615234e+00,-3.405147071503363598e+00
2.302000045776367188e+00,-3.448418940226268159e+00
2.302999973297119141e+00,-3.492766530807601022e+00
2.303999900817871094e+00,-3.538220558509145963e+00
2.305000066757202148e+00,-3.584815024735692024e+00
2.305999994277954102e+00,-3.632579210274915482e+00
2.306999921798706055e+00,-3.681547427960771390e+00
2.308000087738037109e+00,-3.731752476361064552e+00
2.309000015258789062e+00,-3.783228324406310961e+00
2.309999942779541016e+00,-3.836009289870699224e+00
